"dim_customer_sk","dim_product_sk","dim_supplier_sk","dim_category_sk","dim_employee_sk","dim_channel_sk","order_nk","source_system","source_order_id","order_date","shipped_date","quantity","unit_price","discount_pct","gross_amount","net_amount","dw_load_ts"
"-1","-1","-1","-1","-1","2","NORTHWIND_10838","NORTHWIND","10838","2008-01-19 00:00:00-02","2008-01-23 00:00:00","4.0000","18.0000","0.2500","72.0000","54.0000","2025-11-22 21:21:50.513059-03"
"-1","-1","-1","-1","-1","2","NORTHWIND_10911","NORTHWIND","10911","2008-02-26 00:00:00-03","2008-03-05 00:00:00","10.0000","18.0000","0.0000","180.0000","180.0000","2025-11-22 21:21:50.513059-03"
"-1","-1","-1","-1","-1","2","NORTHWIND_10413","NORTHWIND","10413","2007-01-14 00:00:00-02","2007-01-16 00:00:00","24.0000","14.4000","0.0000","345.6000","345.6000","2025-11-22 21:21:50.513059-03"
"-1","-1","-1","-1","-1","2","NORTHWIND_10691","NORTHWIND","10691","2007-10-03 00:00:00-03","2007-10-22 00:00:00","30.0000","18.0000","0.0000","540.0000","540.0000","2025-11-22 21:21:50.513059-03"
"-1","-1","-1","-1","-1","2","NORTHWIND_10646","NORTHWIND","10646","2007-08-27 00:00:00-03","2007-09-03 00:00:00","15.0000","18.0000","0.2500","270.0000","202.5000","2025-11-22 21:21:50.513059-03"
"-1","-1","-1","-1","-1","2","NORTHWIND_10863","NORTHWIND","10863","2008-02-02 00:00:00-02","2008-02-17 00:00:00","20.0000","18.0000","0.1500","360.0000","306.0000","2025-11-22 21:21:50.513059-03"
"-1","-1","-1","-1","-1","2","NORTHWIND_10348","NORTHWIND","10348","2006-11-07 00:00:00-02","2006-11-15 00:00:00","15.0000","14.4000","0.1500","216.0000","183.6000","2025-11-22 21:21:50.513059-03"
"-1","-1","-1","-1","-1","2","NORTHWIND_10477","NORTHWIND","10477","2007-03-17 00:00:00-03","2007-03-25 00:00:00","15.0000","14.4000","0.0000","216.0000","216.0000","2025-11-22 21:21:50.513059-03"
"-1","-1","-1","-1","-1","2","NORTHWIND_10370","NORTHWIND","10370","2006-12-03 00:00:00-02","2006-12-27 00:00:00","15.0000","14.4000","0.1500","216.0000","183.6000","2025-11-22 21:21:50.513059-03"
"-1","-1","-1","-1","-1","2","NORTHWIND_10689","NORTHWIND","10689","2007-10-01 00:00:00-03","2007-10-07 00:00:00","35.0000","18.0000","0.2500","630.0000","472.5000","2025-11-22 21:21:50.513059-03"
